طابع زمني,Are you a student at University of Gezira?,Age,Gender,Faculty,Academic level,Causes of dental caries,Causes of bleeding during tooth brushing:,Influence of dental plaque:,Measures that prevent oral diseases:,Systemic diseases that may be related to oral diseases:,Which is more important for oral health: self-administration or dentist?:,Frequency of daily tooth brushing.,Duration of tooth brushing.,Frequency of replacing tooth brush.,Frequency of visiting dentist.,Method of tooth brushing:,Oral hygiene methods besides tooth brushing:,What oral health problem(s) do you have (you can choose more than one):
10/30/2023 12:08:08,Yes,22,Female,Dentistry,Third year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Inducing dental caries, Including periodontal diseases","Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Cancer, Other diseases",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Horizontal scrub,None,Dental caries
11/2/2023 2:10:29,Yes,23,Female,Medicine,Fourth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease",Don't know,"Application of fluoride, Tooth scaling",None of the above,Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,Twice a year,Horizontal scrub,Sugar-free chewing gum,"Dental caries, Toothache, Tooth discoloration, Tooth hypersensitivity"
11/5/2023 14:36:29,Yes,,Female,Medicine,First year,"Frequent ingestion of sugar, Inadequate tooth brushing","Natural physiological phenomenon, Brushing too hard",Don't know,Application of fluoride,"Hypertension, Cancer",Regular visit to dentist,1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,,Tooth discoloration
11/5/2023 21:45:39,Yes,,Male,Medicine,Fifth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Systemic disease",Don't know,Application of fluoride,"Heart diseases, Diabetes mellitus, Other diseases",Self-administration of oral hygiene,1,More than 3 minutes,Every two months,When I have a dental problem/oral disease,Modified pass technique,Mouthwash,No problem
11/5/2023 21:48:13,Yes,21,Female,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard",Don't know,"Application of fluoride, Tooth scaling","Cancer, Other diseases",Self-administration of oral hygiene,2,One minute or less,Every three months,When I have a dental problem/oral disease,Fones technique,"Dental floss, Mouthwash","Gingival bleeding, Tooth hypersensitivity, I used to have gingival bleeding but after I went to doctor and used to brush my teeth two times a day in fons technics I don't have gingival bleeding any more only hypersensitivity "
11/5/2023 22:15:09,Yes,33,Male,Medicine,Fifth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,"Dental floss, Toothpick",No problem
11/5/2023 22:16:20,Yes,24,Male,Medicine,Fifth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,More than 3 minutes,Every three months,Twice a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick",Tooth hypersensitivity
11/5/2023 22:31:36,Yes,23,Male,Medicine,Fifth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Systemic disease","Affecting appearance, Including periodontal diseases, Not a big deal","Application of fluoride, Tooth scaling","Heart diseases, Hypertension",Self-administration of oral hygiene,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,Toothpick,No problem
11/6/2023 0:15:05,Yes,25,Male,Medicine,Fifth year,Inadequate tooth brushing,Brushing too hard,Don't know,Don't know,Heart diseases,Self-administration of oral hygiene,2,2 to 3 minutes,Every month,Once a year,Vertical scrub,Sugar-free chewing gum,Dental caries
11/6/2023 5:20:38,Yes,25,Male,Medicine,Fifth year,Dynamic of oral micro-flora,Systemic disease,Don't know,,Heart diseases,Regular visit to dentist,2,2 to 3 minutes,Every three months,More than 2 times a year,Horizontal scrub,Mouthwash,Dental caries
11/6/2023 9:02:31,Yes,25,Male,Medicine,Fifth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora",Brushing too hard,Inducing dental caries,Don't know,Heart diseases,Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,"Mouthwash, Toothpick","Gingival bleeding, Toothache, Tooth hypersensitivity"
11/6/2023 10:15:29,Yes,24,Male,Medicine,Fifth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing","Heart diseases, Diabetes mellitus, Hypertension, Other diseases",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,"Dental floss, Mouthwash, Toothpick","Tooth hypersensitivity, No problem"
11/6/2023 11:46:03,Yes,24,Male,Medicine,Fifth year,"Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries","Application of fluoride, Pit & fissure sealing, Tooth scaling",Heart diseases,Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,"Mouthwash, Toothpick","Dental caries, Tooth discoloration"
11/6/2023 16:20:30,Yes,22,Female,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Affecting appearance,"Application of fluoride, Tooth scaling","Heart diseases, Diabetes mellitus, Cancer, Other diseases",Self-administration of oral hygiene,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Horizontal scrub,None,No problem
11/7/2023 9:53:24,Yes,29,Male,Medicine,Fifth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries","Application of fluoride, Tooth scaling","Diabetes mellitus, Cancer, Other diseases",Self-administration of oral hygiene,2,2 to 3 minutes,Until it can't be used,Twice a year,Irregular,"Mouthwash, Sugar-free chewing gum, Toothpick","Dental caries, Tooth discoloration"
11/10/2023 16:07:58,Yes,23,Male,Medicine,Fifth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease",Inducing dental caries,Application of fluoride,Heart diseases,"Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every month,When I have a dental problem/oral disease,Fones technique,Mouthwash,Dental caries
11/10/2023 21:04:09,Yes,23,Female,Medicine,Fourth year,Toothpaste without fluoride,"Periodontal disease, Brushing too hard",Don't know,"Application of fluoride, Pit & fissure sealing","Heart diseases, Diabetes mellitus, Cancer, Other diseases",Regular visit to dentist,1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,None,Tooth hypersensitivity
12/11/2023 21:45:22,Yes,19,Male,Medicine,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Brushing too hard, Systemic disease, Don't know",Don't know,"Application of fluoride, Tooth scaling","Diabetes mellitus, Cancer, Other diseases",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,Once a year,Fones technique,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick",No problem
12/12/2023 5:58:28,Yes,19,Female,Dentistry,First year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling",Cancer,"Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Once a year,Fones technique,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick",No problem
12/12/2023 6:51:06,Yes,19,Female,Medicine,Second year,"Toothpaste without fluoride, Inadequate tooth brushing, Don't know","Periodontal disease, Brushing too hard",Don't know,"Application of fluoride, Pit & fissure sealing",Don't know,Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,"Dental floss, Mouthwash","Dental caries, Tooth discoloration"
12/12/2023 18:56:46,Yes,20,Female,Medicine,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases",Application of fluoride,Don't know,"Self-administration of oral hygiene, Regular visit to dentist",More than 2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,Mouthwash,"Dental caries, Tooth hypersensitivity"
7/29/2024 23:04:41,Yes,23,Male,Medicine,Fifth year,"Toothpaste without fluoride, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Brushing too hard","Affecting appearance, Inducing dental caries",Don't know,Don't know,Regular visit to dentist,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Vertical scrub,None,No problem
7/29/2024 23:08:13,Yes,20,Female,Medicine,First year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing",Periodontal disease,Don't know,Don't know,Don't know,Self-administration of oral hygiene,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Horizontal scrub,None,"Gingival bleeding, Tooth discoloration"
7/29/2024 23:11:59,Yes,23,Male,Dentistry,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing",Periodontal disease,"Including periodontal diseases, Not a big deal","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension",Regular visit to dentist,2,2 to 3 minutes,Every three months,More than 2 times a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum",Bad breath
7/29/2024 23:14:13,Yes,24,Female,Medicine,Fifth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Brushing too hard, Systemic disease",Affecting appearance,Application of fluoride,Other diseases,Self-administration of oral hygiene,2,One minute or less,Every two months,When I have a dental problem/oral disease,Vertical scrub,Sugar-free chewing gum,No problem
7/29/2024 23:16:43,Yes,19,Female,Medicine,First year,"Frequent ingestion of sugar, Inadequate tooth brushing",Periodontal disease,"Affecting appearance, Inducing dental caries","Application of fluoride, Tooth scaling","Diabetes mellitus, Hypertension, Cancer",Regular visit to dentist,2,More than 3 minutes,Every month,Twice a year,Modified pass technique,"Mouthwash, Sugar-free chewing gum, Toothpick","Bad breath, Dental caries, Tooth hypersensitivity"
7/29/2024 23:18:39,Yes,24,Female,Medicine,Fifth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",More than 2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick","Dental caries, Toothache, Tooth discoloration"
7/29/2024 23:18:52,Yes,18,Female,Medicine,First year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing",Brushing too hard,Don't know,Don't know,Don't know,Self-administration of oral hygiene,1,One minute or less,Until it can't be used,When I have a dental problem/oral disease,Vertical scrub,"Dental floss, Mouthwash",Tooth discoloration
7/29/2024 23:28:23,Yes,25,Female,Medicine,Fifth year,Don't know,"Brushing too hard, Systemic disease",Affecting appearance,Application of fluoride,Diabetes mellitus,Regular visit to dentist,More than 2,2 to 3 minutes,Until it can't be used,Twice a year,Vertical scrub,"Sugar-free chewing gum, Toothpick",No problem
7/29/2024 23:46:28,Yes,20,Female,Medicine,First year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard",Don't know,"Application of fluoride, Pit & fissure sealing",Diabetes mellitus,"Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Horizontal scrub,"Mouthwash, Sugar-free chewing gum, Toothpick",Tooth hypersensitivity
7/30/2024 0:02:30,Yes,18,Female,Medicine,First year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard",Don't know,"Application of fluoride, Tooth scaling",Diabetes mellitus,Regular visit to dentist,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Modified pass technique,Dental floss,No problem
7/30/2024 0:04:38,Yes,19,Female,Medicine,First year,Frequent ingestion of sugar,"Brushing too hard, Systemic disease",Don't know,Don't know,Don't know,Regular visit to dentist,1,2 to 3 minutes,Every month,When I have a dental problem/oral disease,Irregular,None,"Gingival bleeding, Toothache"
7/30/2024 0:08:36,Yes,25,Male,Medicine,Fifth year,"Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease",Affecting appearance,Tooth scaling,"Diabetes mellitus, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Irregular,None,No problem
7/30/2024 0:09:52,Yes,19 years old ,Female,Medicine,First year,Toothpaste without fluoride,Brushing too hard,Don't know,Application of fluoride,Diabetes mellitus,"Self-administration of oral hygiene, Regular visit to dentist",More than 2,One minute or less,Every month,More than 2 times a year,Modified pass technique,Sugar-free chewing gum,"Dental caries, Tooth discoloration"
7/30/2024 0:50:57,Yes,18,Female,Medicine,First year,"Frequent ingestion of sugar, Inadequate tooth brushing",Don't know,Affecting appearance,"Application of fluoride, Tooth scaling",Don't know,Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,None,"Gingival bleeding, Oral ulcers, Tooth hypersensitivity"
7/30/2024 1:00:22,Yes,24,Female,Medicine,Fourth year,"Dynamic of oral micro-flora, Inadequate tooth brushing",Brushing too hard,"Inducing dental caries, Don't know",Don't know,Heart diseases,"Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,"Dental floss, Mouthwash","Bad breath, Dental caries"
7/30/2024 1:00:41,Yes,21,Male,Medicine,First year,Don't know,Don't know,Don't know,Don't know,Don't know,Regular visit to dentist,1,More than 3 minutes,Every two months,When I have a dental problem/oral disease,Vertical scrub,Mouthwash,Toothache
7/30/2024 1:09:40,Yes,23,Male,Medicine,Third year,Don't know,Don't know,"Including periodontal diseases, Not a big deal, Don't know",Don't know,"Diabetes mellitus, Hypertension",Self-administration of oral hygiene,2,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,None,Tooth discoloration
7/30/2024 1:44:46,Yes,20,Female,Medicine,Second year,Inadequate tooth brushing,Periodontal disease,Don't know,Tooth scaling,Don't know,Self-administration of oral hygiene,2,One minute or less,Every three months,When I have a dental problem/oral disease,Vertical scrub,Mouthwash,"Dental caries, Oral ulcers"
7/30/2024 2:28:39,Yes,ياسر عبدالرافع,Male,Medicine,First year,Don't know,"Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,More than 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,None,Tooth discoloration
7/30/2024 4:36:10,Yes,24,Male,Dentistry,Fourth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Other diseases",Self-administration of oral hygiene,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Modified pass technique,"Dental floss, Toothpick","Bruxism, Dental caries, Toothache, Tooth hypersensitivity"
7/30/2024 5:17:07,Yes,20,Female,Medicine,First year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard","Affecting appearance, Including periodontal diseases","Application of fluoride, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Once a year,Fones technique,"Dental floss, Sugar-free chewing gum, Toothpick","Dental caries, Tooth hypersensitivity"
7/30/2024 6:52:27,Yes,18,Female,Medicine,First year,Don't know,"Brushing too hard, Systemic disease",,,,,,,,,,,
7/30/2024 10:10:27,Yes,19,Female,Medicine,First year,Inadequate tooth brushing,Natural physiological phenomenon,Don't know,Don't know,Other diseases,Self-administration of oral hygiene,2,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Modified pass technique,None,"Bad breath, Toothache, Tooth discoloration"
7/30/2024 11:15:21,Yes,25,Male,Medicine,Fifth year,"Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease","Affecting appearance, Not a big deal","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Cancer",Self-administration of oral hygiene,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Vertical scrub,None,No problem
7/30/2024 12:31:58,Yes,20,Female,Medicine,Third year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling",Don't know,"Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Once a year,Modified pass technique,"Mouthwash, Sugar-free chewing gum, Toothpick","Dental caries, Tooth discoloration"
7/30/2024 13:17:57,Yes,18,Female,Dentistry,First year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard",Inducing dental caries,Don't know,Don't know,Self-administration of oral hygiene,2,One minute or less,Every three months,Twice a year,Vertical scrub,"Dental floss, Mouthwash",No problem
7/30/2024 13:46:44,Yes,20,Female,Dentistry,First year,Inadequate tooth brushing,Brushing too hard,Including periodontal diseases,Application of fluoride,Other diseases,Regular visit to dentist,2,2 to 3 minutes,Every two months,Twice a year,Vertical scrub,"Mouthwash, None",Dental caries
7/30/2024 14:04:15,Yes,23,Female,Medicine,Fourth year,Toothpaste without fluoride,Systemic disease,Don't know,Application of fluoride,Diabetes mellitus,Self-administration of oral hygiene,2,One minute or less,Every month,Twice a year,Modified pass technique,Mouthwash,"Dental caries, Toothache"
7/30/2024 14:22:41,Yes,18,Female,Dentistry,First year,"Toothpaste without fluoride, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Don't know,Application of fluoride,"Hypertension, Cancer",Regular visit to dentist,2,2 to 3 minutes,Every month,Once a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick","Toothache, Tooth hypersensitivity"
7/30/2024 14:27:50,Yes,18,Female,Dentistry,First year,Frequent ingestion of sugar,Periodontal disease,Inducing dental caries,Don't know,Heart diseases,Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,Dental floss,"Gingival bleeding, Toothache, Tooth hypersensitivity"
7/30/2024 14:40:17,Yes,19,Female,Dentistry,First year,"Toothpaste without fluoride, Frequent ingestion of sugar","Brushing too hard, Systemic disease","Inducing dental caries, Including periodontal diseases",Don't know,Don't know,Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,"Dental floss, Mouthwash",No problem
7/30/2024 15:50:18,Yes,30,Male,Medicine,Fifth year,Don't know,Systemic disease,Not a big deal,Don't know,Cancer,Regular visit to dentist,More than 2,One minute or less,Until it can't be used,When I have a dental problem/oral disease,Irregular,None,No problem
7/30/2024 16:35:35,,,,,,,,,,,,,,,,,,
7/30/2024 16:40:01,Yes,24,Male,Medicine,Fourth year,Inadequate tooth brushing,Periodontal disease,"Affecting appearance, Inducing dental caries",Tooth scaling,"Heart diseases, Don't know",Regular visit to dentist,1,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Irregular,None,"Gingival bleeding, Tooth discoloration"
7/30/2024 16:41:20,Yes,23,Female,Medicine,Fourth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard",Affecting appearance,"Application of fluoride, Tooth scaling",Diabetes mellitus,Self-administration of oral hygiene,2,2 to 3 minutes,Every month,When I have a dental problem/oral disease,Modified pass technique,"Mouthwash, Sugar-free chewing gum",Tooth hypersensitivity
7/30/2024 16:44:29,Yes,21,Female,Medicine,Third year,"Frequent ingestion of sugar, Inadequate tooth brushing",Brushing too hard,Inducing dental caries,"Application of fluoride, Pit & fissure sealing","Heart diseases, Other diseases",Self-administration of oral hygiene,2,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,None,"Dental caries, Gingival bleeding"
7/30/2024 16:51:21,Yes,22,Female,Medicine,Third year,"Frequent ingestion of sugar, Inadequate tooth brushing",Natural physiological phenomenon,Don't know,Application of fluoride,"Heart diseases, Cancer",Regular visit to dentist,2,More than 3 minutes,Every two months,,Horizontal scrub,"Mouthwash, Sugar-free chewing gum","Gingival bleeding, Oral ulcers, Tooth hypersensitivity"
7/30/2024 16:58:12,Yes,24,Female,Medicine,Fourth year,Frequent ingestion of sugar,Systemic disease,Inducing dental caries,Don't know,Diabetes mellitus,Regular visit to dentist,2,More than 3 minutes,Every three months,More than 2 times a year,Modified pass technique,None,Dental caries
7/30/2024 17:23:04,Yes,22,Female,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard",Affecting appearance,"Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick",Tooth discoloration
7/30/2024 17:32:16,Yes,23,Female,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar","Natural physiological phenomenon, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries","Application of fluoride, Tooth scaling",Diabetes mellitus,Self-administration of oral hygiene,1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Horizontal scrub,Toothpick,"No problem, "
7/30/2024 17:35:40,Yes,21,Female,Medicine,Fourth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Brushing too hard, Systemic disease",Affecting appearance,"Application of fluoride, Pit & fissure sealing","Diabetes mellitus, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,More than 2 times a year,,"Dental floss, Mouthwash",No problem
7/30/2024 17:45:21,Yes,22,Female,Medicine,Third year,"Frequent ingestion of sugar, Inadequate tooth brushing",Brushing too hard,Affecting appearance,Application of fluoride,Diabetes mellitus,Self-administration of oral hygiene,1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,"Dental floss, Mouthwash, Toothpick",Toothache
7/30/2024 17:51:32,Yes,24,Female,Medicine,Fourth year,"Toothpaste without fluoride, Dynamic of oral micro-flora","Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries",Application of fluoride,"Heart diseases, Cancer, Other diseases",Self-administration of oral hygiene,1,More than 3 minutes,Every month,When I have a dental problem/oral disease,Modified pass technique,None,"Oral ulcers, No problem"
7/30/2024 17:56:00,Yes,26,Female,Dentistry,Fifth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Don't know,"Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension, Cancer",Regular visit to dentist,1,One minute or less,Every three months,Once a year,Modified pass technique,"Dental floss, Mouthwash","Dental caries, Toothache, Tooth hypersensitivity"
7/30/2024 17:58:42,Yes,21,Female,Medicine,Third year,Don't know,Brushing too hard,Don't know,Application of fluoride,Cancer,Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Horizontal scrub,None,Gingival bleeding
7/30/2024 18:03:14,Yes,23,Female,Medicine,Third year,Dynamic of oral micro-flora,Systemic disease,Don't know,Don't know,"Diabetes mellitus, Hypertension, Cancer",Self-administration of oral hygiene,2,More than 3 minutes,Every two months,Twice a year,Vertical scrub,"Mouthwash, Sugar-free chewing gum",No problem
7/30/2024 18:04:37,Yes,23,Female,Medicine,Fourth year,"Dynamic of oral micro-flora, Don't know",Brushing too hard,Inducing dental caries,Don't know,Cancer,Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,Twice a year,Horizontal scrub,Mouthwash,No problem
7/30/2024 18:12:15,Yes,23,Female,Medicine,Fourth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora","Brushing too hard, Systemic disease","Affecting appearance, Don't know",Application of fluoride,Don't know,Regular visit to dentist,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Vertical scrub,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick","Bad breath, Dental caries, Tooth discoloration"
7/30/2024 18:12:57,Yes,21,Female,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard","Inducing dental caries, Including periodontal diseases","Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension","Self-administration of oral hygiene, Regular visit to dentist",More than 2,More than 3 minutes,Every three months,Once a year,Horizontal scrub,Mouthwash,Toothache
7/30/2024 18:55:43,Yes,24,Female,Medicine,Fourth year,Inadequate tooth brushing,Brushing too hard,Inducing dental caries,Tooth scaling,Heart diseases,Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Horizontal scrub,Toothpick,Dental caries
7/30/2024 18:58:18,Yes,22,Female,Medicine,Third year,"Frequent ingestion of sugar, Inadequate tooth brushing","Brushing too hard, Systemic disease",Don't know,Don't know,Don't know,"Self-administration of oral hygiene, Regular visit to dentist",1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,Mouthwash,Dental caries
7/30/2024 19:00:29,Yes,21 years old ,Female,Medicine,Third year,"Toothpaste without fluoride, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease","Affecting appearance, Inducing dental caries","Application of fluoride, Tooth scaling","Diabetes mellitus, Cancer, Other diseases",Regular visit to dentist,2,More than 3 minutes,Every month,When I have a dental problem/oral disease,Modified pass technique,"Dental floss, Mouthwash, Toothpick","Dental caries, Gingival bleeding, Oral ulcers, Toothache, Tooth hypersensitivity"
7/30/2024 19:10:39,Yes,21,Female,Medicine,Third year,"Frequent ingestion of sugar, Inadequate tooth brushing","Natural physiological phenomenon, Brushing too hard",Don't know,Tooth scaling,"Heart diseases, Hypertension, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every two months,More than 2 times a year,Vertical scrub,"Mouthwash, Sugar-free chewing gum","Dental caries, Tooth hypersensitivity"
